Library,Iteration,Release,exception,success,crash,timeout
torch,1,2.0.0,28066,18314,1,2
torch,1,2.0.1,28508,16566,2,2
torch,1,2.1.0,30248,17616,0,2
tf,1,2.11.0,3169,20831,0,0
tf,1,2.12.0,3014,20986,0,0
tf,1,2.13.0,2975,21025,0,0
tf,1,2.14.0,6569,17431,0,0
