Library,Iteration,Release,exception,crash,timeout,OOM
torch,2.0.0,0.0,9798.0,0.0,1.0,0.0
torch,2.0.1,0.0,10338.0,0.0,1.0,0.0
torch,2.1.0,0.0,10606.0,0.0,2.0,0.0
tf,2.11.0,0.0,6033.0,175.0,1.0,25.0
tf,2.12.0,0.0,8748.0,0.0,0.0,24.0
tf,2.13.0,0.0,8757.0,0.0,0.0,32.0
tf,2.14.0,0.0,7799.0,10.0,0.0,33.0
