Library,Iteration,Release,exception,success
torch,2.0.0,1.0,1362.0,0.0
torch,2.0.1,1.0,1372.0,0.0
torch,2.1.0,1.0,1355.0,0.0
tf,2.11.0,1.0,737.0,0.0
tf,2.12.0,1.0,769.0,0.0
tf,2.13.0,1.0,789.0,0.0
tf,2.14.0,1.0,716.0,0.0
