Library,Iteration,Release,exception,success,crash,timeout
torch,2.0.0,1.0,28066.0,18314.0,1.0,2.0
torch,2.0.1,1.0,28508.0,16566.0,2.0,2.0
torch,2.1.0,1.0,30248.0,17616.0,0.0,2.0
tf,2.11.0,1.0,3169.0,20831.0,0.0,0.0
tf,2.12.0,1.0,3014.0,20986.0,0.0,0.0
tf,2.13.0,1.0,2975.0,21025.0,0.0,0.0
tf,2.14.0,1.0,6569.0,17431.0,0.0,0.0
