torch,1,2.0.0,0,4778,0,24849,0
torch,1,2.0.1,0,4778,0,25331,0
torch,1,2.1.0,0,4778,0,24881,0
torch,2,2.0.0,0,4778,0,25372,0
torch,2,2.0.1,0,4778,0,24743,0
torch,2,2.1.0,0,4778,0,24915,0
torch,3,2.0.0,0,140,0,5826,0
torch,3,2.0.1,0,140,0,5838,0
torch,3,2.1.0,0,140,0,5861,0
torch,4,2.0.0,0,140,0,5826,0
torch,4,2.0.1,0,140,0,5826,0
torch,4,2.1.0,0,140,0,5833,0
torch,5,2.0.0,0,140,0,5771,0
torch,5,2.0.1,0,140,0,5796,0
torch,5,2.1.0,0,140,0,5849,0
tf,1,2.11.0,0,0,1,4773,0
tf,1,2.12.0,0,0,968,4819,0
tf,1,2.13.0,0,0,2080,27927,0
tf,1,2.14.0,0,0,0,4857,0
tf,2,2.11.0,0,0,1,4809,0
tf,2,2.12.0,0,0,999,4968,0
tf,2,2.13.0,0,0,978,4886,0
tf,2,2.14.0,0,0,2,4814,0
tf,3,2.11.0,0,0,0,4810,0
tf,3,2.12.0,0,0,999,4762,0
tf,3,2.13.0,0,0,977,4816,0
tf,3,2.14.0,0,0,3,4843,0
tf,4,2.11.0,0,0,0,4780,0
tf,4,2.12.0,0,0,961,4739,0
tf,4,2.13.0,0,0,912,4750,0
tf,4,2.14.0,0,0,1,4834,0
tf,5,2.11.0,0,0,3,4841,0
tf,5,2.12.0,0,0,1001,4816,0
tf,5,2.13.0,0,0,1001,4806,0
tf,5,2.14.0,0,0,1,4712,0
