Library,Iteration,Release,SUCCESS_FINAL,SUCCESS,PASS,SKIP,FWD_VALUE,STATUS,FWD_STATUS,REV_STATUS,REV_FWD_GRAD,ND_GRAD,GRAD_VALUE_MISMATCH,REV_STATUS_MISMATCH,VALUE_MISMATCH,CRASH_FINAL,DIRECT_CRASH,CRASH,REV_CRASH,FWD_CRASH,REV_GRAD_FAIL,FWD_GRAD_FAIL,ND_FAIL,ARGS_FAIL,DIRECT_FAIL,FAIL_FINAL,GRAD_NOT_COMPUTED,RANDOM,DIRECT_NAN,NAN,NAN_FINAL
torch,2.0.0,3.0,29838.2,0.0,29838.2,47947.2,0.2,213.8,1.8,125.2,2968.6,151.8,0.0,0.0,0.0,77.4,2.8,74.6,0.0,0.0,0.0,0.0,218.6,0.0,0.0,218.6,0.0,2342.4,0.0,1599.6,1599.6
torch,2.0.1,3.0,30131.8,0.0,30131.8,47720.2,0.2,220.2,1.4,138.2,3003.0,160.2,0.0,0.0,0.0,78.8,2.0,76.8,0.0,0.0,0.0,0.0,220.4,0.0,0.0,220.4,0.0,2361.4,0.0,1599.0,1599.0
torch,2.1.0,3.0,33723.2,0.0,33723.2,46507.2,0.0,227.0,1.4,3556.8,2678.6,157.2,0.0,0.0,0.0,72.8,3.6,69.2,0.0,0.0,0.0,0.0,384.4,0.0,0.0,384.4,0.0,2357.4,0.0,1577.2,1577.2
tf,2.11.0,3.0,309.0,309.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,19.2,0.0,10.6,50.0,151.6,231.4,241.0,0.0,9.6,0.0,9.6
tf,2.12.0,3.0,305.2,305.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.6,17.6,0.0,0.0,0.0,0.0,0.0,13.8,0.0,9.8,58.8,130.8,213.2,237.0,0.0,11.4,0.0,11.4
tf,2.13.0,3.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,12.4,13.2,0.0,0.0,0.0,0.0,0.0,14.4,0.0,11.4,57.0,133.4,216.2,239.2,0.2,10.6,0.0,10.6
tf,2.14.0,3.0,216.6,216.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,11.6,48.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,10.8,53.8,140.0,233.0,238.2,0.2,11.8,0.0,11.8
