Library,Iteration,Release,exception,crash,syntax,memory,success
torch,2.0.0,3.0,4719.2,1.8,12374.6,29.2,7875.2
torch,2.0.1,3.0,4705.6,0.8,12313.8,29.8,7950.0
torch,2.1.0,3.0,5636.6,0.2,14920.4,29.2,9413.6
tf,2.11.0,3.0,2745.0,17.75,6421.5,11.25,3812.25
tf,2.12.0,3.0,2735.6,23.0,6398.0,12.6,3830.8
tf,2.13.0,3.0,2743.6,21.2,6442.0,2.6,3750.8
tf,2.14.0,3.0,5250.0,0.0,6418.4,0.4,1331.2
