Detected,Issue,Related to Tensor,Version,Buggy API,Category,Impact,Log Rule,Log Message,Category.1,Trigger Mechanism,Description,Need More Inspection(0/1),Reason not agree,Unnamed: 14,Time,Related,CUDA
ACETest,https://github.com/tensorflow/tensorflow/issues/60273,yes,2.12.0,tf.raw_ops.UnicodeDecodeWithOffsets,Vulnerability,Check failed,Aborted (core dumped),"2023-04-09 13:47:12.779782: F tensorflow/core/framework/tensor.cc:770] Check failed: dtype() == expected_dtype (9 vs. 3) int32 expected, got int64
Aborted (core dumped)",API Input Context,Supporting Specific Data Types,,,,,2023-04-09T05:50:27Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60201,yes,2.12.0,tf.raw_ops.DepthwiseConv2dNativeBackpropInput,Vulnerability,InvalidArgumentError,Aborted (core dumped),"2023-04-01 16:37:55.854746: F tensorflow/core/kernels/mkl/mkl_conv_grad_input_ops.cc:537] Non-OK-status: tensor::MakeShape(input_tensor, &input_tf_shape) status: INVALID_ARGUMENT: Dimension -510 must be >= 0
Aborted (core dumped)",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-04-01T08:40:42Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60200,yes,2.12.0,tf.raw_ops.ThreadUnsafeUnigramCandidateSampler,Vulnerability,InvalidArgumentError,Aborted (core dumped),"2023-04-01 16:37:55.854746: F tensorflow/core/kernels/mkl/mkl_conv_grad_input_ops.cc:537] Non-OK-status: tensor::MakeShape(input_tensor, &input_tf_shape) status: INVALID_ARGUMENT: Dimension -510 must be >= 0
Aborted (core dumped)",API Input Context,Large Integer Argument,,,,,2023-04-01T08:36:16Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60199,yes,2.12.0,tf.raw_ops.MatrixDeterminant,Vulnerability,integer overflow,Aborted (core dumped),"2023-04-01 16:27:45.620825: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 7678600331551628182 with 15, result: -1
Aborted (core dumped)",API Input Context,Large Input Tensor,,1.0,integer overflow should be changed to checkfail,,2023-04-01T08:30:49Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60197,yes,2.12.0,tf.raw_ops.LearnedUnigramCandidateSampler,Vulnerability,Check failed,Aborted (core dumped),"2023-04-01 16:20:39.689581: F tensorflow/core/kernels/range_sampler.cc:183] Check failed: range < kint32max (3031324185113192368 vs. 2147483647)
Aborted (core dumped)",API Input Context,Large Integer Argument,,,,,2023-04-01T08:23:48Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60196,yes,2.12.0,tf.raw_ops.StatelessRandomGammaV2,Vulnerability,Check failed,Aborted (core dumped),"2023-04-01 16:17:28.418600: F ./tensorflow/core/util/gpu_launch_config.h:129] Check failed: work_element_count >= 0 (0 vs. -457139056)
Aborted (core dumped)",API Input Context,Empty Input Tensor,,,,,2023-04-01T08:21:17Z,1.0,cu118
,https://github.com/tensorflow/tensorflow/issues/60195,yes,2.12.0,tf.raw_ops.Conv3DBackpropFilterV2,Vulnerability,Check failed,Aborted (core dumped),"2023-04-01 15:05:15.267117: F ./tensorflow/core/util/tensor_format.h:427] Check failed: index >= 0 && index < num_total_dims Invalid index from the dimension: 1, 1, C
Aborted (core dumped)",API Input Context,Generating Tensors with Incompatible Shapes,,,,,2023-04-01T07:09:21Z,1.0,cu115
,https://github.com/tensorflow/tensorflow/issues/60059,yes,2.11.0,tf.raw_ops.QuantizeAndDequantizeV4,Logical,TypeError,takes 2 positional arguments but 4 were given,TypeError: _QuantizeAndDequantizeV4GradGrad() takes 2 positional arguments but 4 were given,Test Case Context,Modeling Multiple API Usage Pattern,,1.0,"2 arguments were passed, but expected 4, arguments are not matching",,2023-03-22T00:32:52Z,1.0,N.A
ACETest,https://github.com/tensorflow/tensorflow/issues/60034,yes,2.11.0,tf.raw_ops.CholeskyGrad,Vulnerability,integer overflow,Aborted (core dumped),"2023-03-18 18:20:26.563113: F tensorflow/core/framework/tensor_shape.cc:201] Non-OK-status: InitDims(dim_sizes) status: INVALID_ARGUMENT: Encountered overflow when multiplying 1152921504606846976 with 8, result: -9223372036854775808
Aborted (core dumped)",API Input Context,Large Input Tensor,,,,,2023-03-18T10:22:30Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/59960,yes,2.11.0,tf.raw_ops.CholeskyGrad,Vulnerability,TypeError,takes 2 positional arguments but 4 were given,TypeError: _QuantizeAndDequantizeV4GradGrad() takes 2 positional arguments but 4 were given,Test Case Context,Modeling Multiple API Usage Pattern,,1.0,"2 arguments were passed, but expected 4, arguments are not matching",,2023-03-12T01:12:14Z,1.0,N.A
,https://github.com/tensorflow/tensorflow/issues/62280,yes,2.14.0,tf.raw_ops.Acos,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",API Input Context,Modeling Specific Inputs,,,,,2023-10-30T12:59:35Z,,
,https://github.com/tensorflow/tensorflow/issues/62263,yes,2.14.0,tf.raw_ops.SqrtGrad,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",Test Case Context,Modeling Complex Tensor Operations and Layer Interactions,,,,,2023-10-28T02:08:02Z,,
,https://github.com/tensorflow/tensorflow/issues/62220,yes,2.14.0,tf.raw_ops.Asinh,Logical,InvalidArgumentError,InvalidArgumentError,"    raise errors.InvalidArgumentError(
tensorflow.python.framework.errors_impl.InvalidArgumentError: Expected 'tf.Tensor(False, shape=(), dtype=bool)' to be true. Summarized data: b''",API Input Context,Modeling Specific Inputs,,,,,2023-10-25T07:04:01Z,,
,https://github.com/tensorflow/tensorflow/issues/59099,yes,2.11.0,tf.raw_ops.TensorListScatterV2,Logical,TypeError,EagerTensor of dtype variant,TypeError: Cannot convert 1 to EagerTensor of dtype variant,API Input Context,Modeling Specific Inputs,,,,,2023-01-04T20:44:47Z,,
