Library,Iteration,Release,crash,exception,hangs,flaky,notarget,valid
torch,1,2.0.0,0,131,0,0,25,111
torch,1,2.0.1,0,131,0,0,25,111
torch,1,2.1.0,0,95,0,0,27,60
tf,1,2.11.0,0,19,0,0,8,12
tf,1,2.12.0,0,9,0,0,6,7
tf,1,2.13.0,0,13,0,0,7,9
tf,1,2.14.0,0,13,0,0,6,8
