Library,Iteration,Release,exception,crash,timeout,OOM
torch,2.0.0,2.0,43558.8,155.8,7.0,0.0
torch,2.0.1,2.0,43597.2,155.8,4.2,0.0
torch,2.1.0,2.0,43807.0,152.8,5.4,0.0
tf,2.11.0,2.0,52393.2,241.6,41.4,509.8
tf,2.12.0,2.0,54425.0,215.2,35.8,515.4
tf,2.13.0,2.0,54473.6,218.8,34.4,530.4
tf,2.14.0,2.0,52735.6,208.2,61.4,547.4
