Library,Iteration,Release,exception,crash,syntax,memory,success
torch,1,2.0.0,219,0,683,1,397
torch,1,2.0.1,267,0,632,2,399
torch,1,2.1.0,430,0,1410,6,754
tf,1,2.11.0,44,0,99,0,57
tf,1,2.12.0,36,0,108,1,55
tf,1,2.13.0,39,1,83,0,77
tf,1,2.14.0,76,0,103,0,21
