Library,Iteration,Release,crash,exception,hangs,flaky,notarget,valid
torch,2.0.0,1.0,0.0,131.0,0.0,0.0,25.0,111.0
torch,2.0.1,1.0,0.0,131.0,0.0,0.0,25.0,111.0
torch,2.1.0,1.0,0.0,95.0,0.0,0.0,27.0,60.0
tf,2.11.0,1.0,0.0,19.0,0.0,0.0,8.0,12.0
tf,2.12.0,1.0,0.0,9.0,0.0,0.0,6.0,7.0
tf,2.13.0,1.0,0.0,13.0,0.0,0.0,7.0,9.0
tf,2.14.0,1.0,0.0,13.0,0.0,0.0,6.0,8.0
