Library,Iteration,Release,exception,success
torch,2.0.0,3.0,15209.0,0.0
torch,2.0.1,3.0,15189.0,0.0
torch,2.1.0,3.0,15145.0,0.0
tf,2.11.0,3.0,4803.6,0.0
tf,2.12.0,3.0,5806.4,0.0
tf,2.13.0,3.0,10626.6,0.0
tf,2.14.0,3.0,4813.4,0.0
