Library,Iteration,Release,exception,crash,syntax,memory,success
torch,2.0.0,1.0,219.0,0.0,683.0,1.0,397.0
torch,2.0.1,1.0,267.0,0.0,632.0,2.0,399.0
torch,2.1.0,1.0,430.0,0.0,1410.0,6.0,754.0
tf,2.11.0,1.0,44.0,0.0,99.0,0.0,57.0
tf,2.12.0,1.0,36.0,0.0,108.0,1.0,55.0
tf,2.13.0,1.0,39.0,1.0,83.0,0.0,77.0
tf,2.14.0,1.0,76.0,0.0,103.0,0.0,21.0
