Library,Iteration,Release,crash,exception,timeout
torch,2.0.0,3.0,0.0,77618.8,591.0
torch,2.0.1,3.0,0.0,77466.4,586.4
torch,2.1.0,3.0,0.0,77076.6,628.0
tf,2.11.0,3.0,198.4,66320.4,168.2
tf,2.12.0,3.0,182.8,65975.8,185.2
tf,2.13.0,3.0,185.8,66345.4,167.6
tf,2.14.0,3.0,175.0,66380.4,188.4
