titanfuzz,1.93,24.25,1.84,24.37,0.96,25.1,15.48,40.17,15.01,38.73,13.01,36.68,11.21,35.9
DeepRel,1.95,30.4,1.88,30.72,1.98,32.63,17.63,41.07,20.9,43.21,18.15,41.88,14.3,38.51
DocTer,0.64,11.88,0.75,15.12,0.61,16.05,21.64,48.65,21.87,48.98,18.41,45.29,16.29,44.34
ACETest,0.87,12.73,0.87,12.73,0.73,9.56,24.91,46.97,26.0,47.58,22.23,43.92,19.04,41.95
FreeFuzz,1.85,25.09,1.66,24.32,1.87,25.51,19.9,43.72,19.94,43.46,20.51,42.98,15.26,40.18
NablaFuzz,1.05,22.96,1.1,22.99,0.98,24.0
atlasfuzz,0.43,9.73,0.43,8.31,0.44,8.24,7.08,17.95,8.6,20.1,7.85,19.71,6.47,19.28
